M/W,Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Iran,1,3,23,25,17,23,-,25,23,25,25,-,SET 3,24,20,4,0,,20,10,24,54,4,2,8,14,0,10,24,34,10,10,24,44,8,6,16,8,0,44,52
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Iran,1,3,23,25,17,23,-,25,23,25,25,-,SET 4,19,16,2,1,,16,3,9,28,2,8,2,12,1,3,20,24,6,1,13,20,5,5,13,9,0,19,28
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Czechia,3,0,26,25,25,-,-,24,21,21,-,-,ALL SETS,58,49,4,5,,49,18,11,78,4,14,21,39,5,18,52,75,24,2,30,56,26,8,35,21,0,55,76
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Czechia,3,0,26,25,25,-,-,24,21,21,-,-,SET 1,17,14,2,1,,14,6,6,26,2,2,7,11,1,7,18,26,11,1,8,20,8,4,12,6,0,20,26
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Czechia,3,0,26,25,25,-,-,24,21,21,-,-,SET 2,21,18,1,2,,18,6,2,26,1,7,7,15,2,4,18,24,7,0,11,18,9,4,13,10,0,15,25
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Czechia,3,0,26,25,25,-,-,24,21,21,-,-,SET 3,20,17,1,2,,17,6,3,26,1,5,7,13,2,7,16,25,6,1,11,18,9,0,10,5,0,20,25
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Cuba,0,3,24,21,21,-,-,26,25,25,-,-,ALL SETS,38,28,8,2,,28,10,33,71,8,17,6,31,2,11,54,67,14,5,38,57,15,13,28,13,1,56,70
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Cuba,0,3,24,21,21,-,-,26,25,25,-,-,SET 1,13,10,2,1,,10,6,10,26,2,6,5,13,1,4,19,24,6,1,12,19,7,3,10,5,1,19,25
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Cuba,0,3,24,21,21,-,-,26,25,25,-,-,SET 2,13,11,2,0,,11,1,14,26,2,5,0,7,0,4,18,22,2,2,16,20,4,4,8,6,0,20,26
Men,2023,10,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Cuba,0,3,24,21,21,-,-,26,25,25,-,-,SET 3,12,7,4,1,,7,3,9,19,4,6,1,11,1,3,17,21,6,2,10,18,4,6,10,2,0,17,19
